metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/part_numbers/1,metadata/part_numbers/2,metadata/part_numbers/3,metadata/part_numbers/4,general_product_information/hyte_sku,metadata/part_numbers/5,metadata/part_numbers/6,metadata/part_numbers/7,metadata/part_numbers/8,metadata/series,metadata/variant,metadata/releaseYear,metadata/last_manually_spec_verified_at,connection_types/0,connection_types/1,ear_pad_material/0,features/0,platforms/0,platforms/1,platforms/2,use_cases/0,use_cases/1,driver_size,frequency_response_low,frequency_response_high,headphone_type,ear_cup_type,weight,has_microphone,microphone_type,frame_material
TekNmotion TM-LOND Closed-Back Headphones,TekNmotion,TM-LOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tek Republic TH Pro Headphones Closed-Back 7.1 Channel,Tek Republic,TH Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDREX10LP/DPK Closed In-Ear Headphones,Sony,CZ-MDREX10LP,DPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer BlackShark Closed Gaming Headset,Razer,RZ04-00720100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coby CV135BLU Closed-Back Headphones,Coby,CV135BLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro A20 Gen 2 Closed Gaming Headset,Logitech,939-001876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-ANC27X Closed Headphones,GEEKRIA,ATH-ANC27X,EJB-0031-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic DT 770 PRO Headphones,beyerdynamic,DT 770 PRO - 32 Ohm Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer SE-MJ721I-R Wired Headphones Closed-Back,Pioneer,SE-MJ721I-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDREX100IPW In Ear Headphones,Sony,CZ-MDREX100IPW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic DT 900 Pro X Open-Back Headphones,beyerdynamic,DT900ProX                                                    729906,729906,CA-9011211-NA,737704,beyerdynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss KSC17 Closed-Back Wired Headphones,Koss,163585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-XB400VL Closed-Back Headphones,Sony,MDRXB400VL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech Pro X Shroud Closed Gaming Headset,Logitech,981-000956                                                    981-000957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genius GHP-400S Wired Closed-Back Headphones White/Pink,Genius,GHP-400S-Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS55 SURROUND 7.1 Channel Closed-Back Gaming Headset,Corsair,CA-9011266-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-MSR7BK Closed Headphones,Audio-Technica,ATH-MSR7BK,ATHMSR7BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentey GS-4731 7.1 Channel Open-Back Headphones,Sentey,GS-4731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss JAMS AA Closed Earbuds,Koss,JAMS AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis Pro + GameDAC Closed-Back Gaming Headset,SteelSeries,61453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Beach XP510 5.1 Channel Closed Gaming Headset,Turtle Beach,TBS-2290-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Tiamat 7.1 V2 7.1 Channel Headset,Razer,RZ04-02070100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus TUF Gaming H3 Headset,MSI,DS 502,DS502 GAMING Headset,MAG B550 TOMAHAWK MAX WIFI,911-7C91-037,DS502,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus ROG Delta S EVA Edition Closed Purple / Green Gaming Headset,ASUS,ROG Delta S EVA Edition                                                    90YH03H0-B2UA00                                                    ROG Delta S EVA,ROG DELTA S EVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BitFenix Flo Closed-Back Headphones,BitFenix,BFH-FLO-KKSK1-RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shure SE535 Earbud,Shure,70700008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips X1/28 Open-Back Headphones,Philips,X1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Thresher Ultimate For PS4 7.1 Channel Headset,Razer,RZ04-01590100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKR3IS In-Ear Closed Headphones with Microphone Blue,Audio-Technica,ATH-CKR3ISBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR 10RBLK Closed-Back Wired Headphones,Sony,MDR10RWHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final B3 In-Ear Closed Headphones,Final,FI-B3B2SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S6HEDY-049 Closed-Back Headphones,Skullcandy,S6HEDY-049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJE280-K Closed In-Ear Headphones,Panasonic,RP-HJE280-K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser Amperior-BL Closed-Back Headphones,Sennheiser,AMPERIOR-SIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple AirPods Pro Closed-Back Earbud With Microphone,Apple,MWP22AM,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss CZ-163684 Closed Headphones,Koss,CZ-163684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis 7P Closed Wireless Gaming Headset,SteelSeries,61467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKF500WH In-Ear Closed-Back Headphones White,Audio-Technica,ATH-CKF500WH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS55 STEREO Closed Gaming Headset,Corsair,CA-9011261-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis Nova 5p Closed-Back Gaming Headset,SteelSeries,61673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skullcandy S5URFZ-101 Closed-Back Headset, Black / Blue",Skullcandy,S5URFZ-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs Sound Blaster Tactic 3D Alpha Closed Gaming Headset,Creative Labs,70GH012000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROP DROP + KOSS GMR-54X-ISO Closed-Back Gaming Headset,DROP,GMR-54X-ISO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantronics EncorePro 520D Wired Closed Headphones Duo,Plantronics,203192-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP OMEN Mindframe 7.1 Channel Closed Gaming Headset,HP,3XT27AA#ABL,6MF35AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROP Drop + MrSpeakers Ether CX Closed-Back Headphones,DROP,Drop + MrSpeakers Ether CX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CX 5.00G White Closed In-Ear Headphones with Microphone,Sennheiser,CX 5.00G White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy Crusher Closed Headphones,Skullcandy,S6SCHX-445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHARKOON SGH10 Open-Back Headphones,SHARKOON,4.04495E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HXD5C-K Closed-Back Black/Red Headphones,Panasonic,RP-HXD5C-K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-IM50 In-Ear Closed Headphones,Audio-Technica,ATH-IM50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HV41-G Closed In-Ear Headphones,Panasonic,RP-HV41-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony XBA-2 In-Ear Closed Headphones,Sony,XBA-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKL202iSWH In-Ear Closed Wired Headphones with Microphone,Audio-Technica,ATH-CKL202iSWH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser Momentum Ivory Closed-Back Headphones,Sennheiser,505982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech G335 Closed-Back Gaming Headset,Logitech G,981-001017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR222KD/PIN Closed Pink / Black Headphones,Sony,MDR222KD,PIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOGEAR Kaliber Gaming NUKLEUS Gaming Headset Closed-Back,IOGEAR,NUKLEUS                                                    GHG601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HTX7-G1 Closed-Back Headphones,Panasonic,RP-HTX7-G1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy SLYR Headphones,Skullcandy,SMSLFY-207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS45 7.1 Surround Sound Closed-Back Wired Gaming Headset,Corsair,CA-9011220-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser PC141 Closed Headphones,Sennheiser,PC141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-COR150BK Closed In-Ear Headphones,Audio-Technica,ATH-COR150BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 429 Wired Headphones,Sennheiser,HD 429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser MOMENTUM 4 Closed-Back Headphones,Sennheiser,700385                                                    M4AEBT JD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harman Kardon JBL RX ON White Closed Headphones,Harman Kardon,JBLRXONWHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Acoustics AC-401 Closed-Back Headphones,Cyber Acoustics,AC-401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKM55BK In-Ear Closed-Back Black,Audio-Technica,ATH-CKM55BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CLR100BK Closed-Back In-Ear Headphones Black,Audio-Technica,ATH-CLR100BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ergoguys 3066AV Headphones,Ergoguys,3066AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic MMX 300 Closed Headphones,Beyerdynamic,715565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy Crusher Closed-Back Headphones,Skullcandy,SGSCGY-132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audeze Penrose PS Closed-Back Gaming Headset,Audeze,205-PS-1121-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-J20 Earbud Closed-Back Headphones Silver,Sony,MDR-J20,SILVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN Edition X Open-Back Headphones,HiFiMAN,Edition X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries v3 Closed Gaming Headset,SteelSeries,51201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Legion H500 Pro 7.1 Channel Closed Gaming Headset,Lenovo,GXD0T69864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantronics RIG 500HD Closed Wired Gaming Headset 7.1 Channel,Plantronics,RIG 500HD,203801-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss KMO5G Closed Green Earbud,Koss,KMO5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCA HP5041 ,RCA,HP5041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHE3590BK/10 Closed In-Ear Headphones with Microphone,Philips,SHE3590BK,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHL5305BK Wired Headphones,Philips,SHL5305BK,28,SHL5605BK/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Barracuda X 7.1 Channel Closed Headphones,Razer,RZ04-04430200-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI DS501 Closed Headphones,MSI,DS501,DS501 GAMING Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOC GH200 Closed-Back Gaming Headset,AOC,GH200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP OMEN Mindframe Prime Closed Gaming Headset,OMEN,6MF35AA#ABL,3XT27AA#ABB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantronics RIG Closed-Back Headphones,Plantronics,200040-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX CloudX Stinger Core Xbox Closed Gaming Headset,HyperX,4P5J9AA,HX-HSCSCX-BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mad Catz Kunai Closed-Back Wired Gaming Headset,Mad Catz,TRI571020N01,02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis Nova Pro Wireless Gaming Headset for PS5 and PS4,SteelSeries,61522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic T 70 Closed-Back Headphones,Beyerdynamic,714356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDRE9LP/VLT Closed Earbud,Sony,CZ-MDRE9LP,VLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shure SE425-V Closed In-Ear Headphones,Shure,SE425-V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kraken Kitty V2 Pro 7.1 Channel Gaming Headset Closed,Razer,RZ04-04510200-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CC520 IP Closed-Back Wired Headphones,Sennheiser,CC520 IP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-M40fs Wired Closed-Back Headphones,Audio-Technica,ATH-M40fs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJE295-K In-Ear Headphones,Panasonic,8.8517E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooler Master MH630 Closed-Back Headphones,Cooler Master,MH-630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-PRO500MK2BK Closed-Back Headphones,Audio-Technica,ATH-PRO500MK2BK,4.96131E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD25-1 II Closed-Back Wired Headphones,Sennheiser,HD25-1  II,506908,HD 25 Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HX35-R Headphones Closed-Back Black / Red,Panasonic,RP-HX35-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2FFFA-003 Closed In-Ear Headset with Microphone,Skullcandy,S2FFFA-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud Core Headset,HyperX,KHX-HSCC-BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP HV21-W Closed Earbuds With Microphone,Panasonic,RP-HV21-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Acoustics AC-8003 Closed-Back Headphones,Cyber Acoustics,AC-8003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 419 Closed Wired Headphones,Sennheiser,HD 419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-ZX310B Headphones,Sony,MDR-ZX310B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Beach Ear Force XP300 Gaming Headset,Turtle Beach,TBS-2260-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRAS20J/WHI Closed Earbud,Sony,MDRAS20J,WHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyle Audio PIEHWD80LT In-Ear Closed-Back Headphones,Pyle Audio,068888901123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRE9LP/BLU Earbud,Sony,MDRE9LP,BLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-M30 Closed-Back Headphones,Audio-Technica,ATH-M30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Siberia v2 Gaming Headset,SteelSeries,51125,51100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiovox 808-HPA88BKG Closed-Back Headphones,Audiovox,808-HPA88BKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Buds2 With Microphone In-Ear Headset,Samsung,SM-R177NLVAXAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDREX100IPW Closed In-Ear Headphones,Sony,MDREX100IPW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech ASTRO A50 X Closed Gaming Headset,Logitech,939-002132                                                    939-002134,939-002132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDREX10LP/RED In-Ear Headphones,Sony,MDREX10LP,RED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Siberia 650 Closed Gaming Headset,SteelSeries,51193SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer SE-D10MT-W Closed-Back Headphones,Pioneer,SE-D10MT-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis 3 (2019) Closed-Back Gaming Headset,SteelSeries,61506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Beach Stealth 420X Wireless Gaming Headset,Turtle Beach,TBS-2470-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Skill RIPJAWS SV710 7.1 Channel Closed-Back Gaming Headset,G.Skill,Ripjaws SV710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries SS-61001 7.1 Channel Closed Gaming Headset,SteelSeries,SS-61001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-ANC25 Wired Headphones Closed-Back Active Noise Cancelling,Audio-Technica,ATH-ANC25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba CM-5008-U Closed-Back Headphones,Syba,CL-CM-5008-U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN Jade II Open-Back Headphones,HIFIMAN,Jade II                                                    HE-18,Jade II,JadeIIHeadphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech G335 Headset,Logitech G,981-001023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CK323IRD Closed In-Ear Headphones with Microphone,Audio-Technica,ATH-CK323IRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermaltake Level 10 M Closed-Back Gaming Headset Black/Red,Tt eSPORTS,HT-LTM010ECWH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro A50 Closed Black 7.1 Channel Gaming Headset,Astro,3AS50-HBW9N-137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech H600 Closed-Back Wireless Headphones,Logitech,981-000341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAKSTAR FLIT Closed Headphones,TAKSTAR,FLIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony WH1000XM4 Closed Silver Headphones,Sony,WH1000XM4,S,WH1000XM4/SMUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memorex 98161 Closed-Back In-Ear Headphones Pink / White,Memorex,98161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shure SE535 Closed In-Ear Headphones,Shure,70700007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyle Audio PIEHIP20W Closed-Back In-Ear Headphones,Pyle Audio,068888901086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCCAT Kulo 7.1 Channel Wired Gaming Headset,ROCCAT,ROC-14-702 DUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba OG-AUD23036 Closed Black Headphones,Syba,OG-AUD23036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Buds2 Pro In-Ear Closed With Microphone White Headphones,Samsung,SM-R510NZWAXAR,SM-R510N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic DT 700 PRO X Closed-Back Wired Headphones Black,beyerdynamic,737704,beyerdynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gear Head HS2750S Closed-Back Headphones,Gear Head,HS2750S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Battlefield 4 BlackShark Gaming Headset,Razer,RZ04-00720300-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-Audio Studiophile Q40 Closed Headphones,M-Audio,9900-52308-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Xbox WH Headset,,TLL-00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDREX10LP/DBL Closed In-Ear Headphones,Sony,CZ-MDREX10LP,DBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser MB 360 UC Closed Headphones,Sennheiser,508362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harman Kardon JBL QSONWHT Closed-Back Headphones,Harman Kardon,JBLQSONWHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer SE-CS15V Open In-Ear Headphones,Pioneer,SE-CS15V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HV41-P In-Ear Headphones,Panasonic,RP-HV41-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Piano Forte VIII In-Ear Wired Headphones Gold,Final,FI-PF8DSB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adesso Xtream G2 Closed Headphones,ADESSO,XTREAM G2,XTREAMG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kraken V3 7.1 Channel Closed Gaming Headset,Razer,RZ04-03770200-R3U1                                                    RZ04-03770200-R3M1,RZ04-03770200-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha EPH-50 Closed In-Ear Headphones White,Yamaha,EPH-50 White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2INCZ-049 Closed In-Ear Headphones,Skullcandy,S2INCZ-049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus TUF Gaming H7 Headset,ASUS,90YH022G-B8UA00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CX 5.00i Closed-Back Earbuds with Mic White,Sennheiser,CX 5.00i White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser GSP 300 Closed Gaming Headset,Sennheiser,507079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser MOMENTUM Green Closed-Back Headphones,Sennheiser,505948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus ROG STRIX FUSION 700 Headset,ASUS,ROG STRIX FUSION 700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser MX 365 Closed-Back White Earbuds,Sennheiser,MX 365 White                                                    505434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CX200 In-Ear Headphones,Sennheiser,CX200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro A30 7.1 Channel Closed Headset,Astro,3AH30-HBX9N-080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Predator Galea 311 Closed Wired Gaming Headset,acer,NP.HDS11.00B                                                    PHW910,PHW910,NP.HDS11.00B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDREX100APP In-Ear Closed Headphones,Sony,CZ-MDREX100APP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shure SRH550DJ Closed Headphones,Shure,70700016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair Raptor H3 Closed Gaming Headset,Corsair,H3                                                    Raptor H3                                                    CA-9011118-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy Crusher Closed Headphones,Skullcandy,S6CRW-K591,Crusher ANC 2,SCS6CRW-K591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-XB400/BLK ,Sony,MDR-XB400,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech Ultimate Ears 350vm Headphones With Microphone,Logitech,985-000359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosewill RHM-556 Closed Headphones,Rosewill,RHM-556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Acoustics AC-202B Closed Headphones,Cyber Acoustics,AC-202B,AC202B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis 1 Wired Gaming Headset,SteelSeries,61023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K518LEWHT Closed Headphones,AKG,K518LEWHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K374SLV In Ear,AKG,K374SLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud III Closed Gaming Headset,HyperX,77Z45AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft LifeChat LX-4000 Closed-Back Headset,Microsoft,7YF-00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis Prime Closed-Back Gaming Headset,SteelSeries,61487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKP200RD Closed Earbud,Audio-Technica,ATH-CKP200RD,ATHCKP200RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss QZPRO Closed-Back Headphones,Koss,QZPRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denon AHW150BK Closed In-Ear Headphones,Denon,AHW150BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs DRACO HS880 Wired Gaming Headset,Creative Labs,DRACO HS880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser Momentum BRV3 Closed-Back Headphones,Sennheiser,MOMENTUM BRV3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDRAS40EX Closed In-Ear Headphones,Sony,MDRAS40EX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klipsch Image S3 In-Ear Headphones,Klipsch,Image S3 - Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN RE300i Closed White Earbud,HiFiMAN,RE300i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS60 HAPTIC Wired Gaming Headset,Corsair,CA-9011228-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer SE-MJ721I-K Closed-Back Black Headphones,Pioneer,SE-MJ721I-K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S6AVFM-289 Closed-Back Headphones,Skullcandy,S6AVFM-289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
